drift.est [0,0.05) [0.05,0.1) [0.1,0.15) [0.15,0.2) [0.2,0.25) [0.25,0.3) [0.3,0.35) [0.35,0.4) [0.4,0.45) [0.45,0.51)
PEL 0.0001 0.007029 0.012254 0.016864 0.020187 0.024984 0.024494 0.02731 0.033527 0.035545
file pos log10.pval.target.1 obs.freq.target.1 exp.freq.target.1 AIC.neutral.target.1 AIC.postadmix.target.1 AIC.insurr.source1target.1 AIC.insurr.source2target.1 AIC.insurr.source3target.1 sel.postadmix.target.1 sel.insurr.source1target.1 sel.insurr.source2target.1 sel.insurr.source3target.1
1 848849 0.469 1 0.9313 24.235 2.34 2.34 26.165 26.227 102.3 102.3 209715.1 26214.3
1 884529 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 1464806 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 1608229 0.551 0.8706 0.6931 135.37 107.788 111.812 115.852 136.91 1.989 3.725 13421772.7 419430.3
1 1648405 0.323 0.0765 0.1867 90.678 75.962 75.562 87.571 90.557 -0.639 -0.739 -1.505 -1.283
1 1845358 0 1 0.998 0.677 2.34 2.62 2.654 2.34 19.1 6710886.3 3355443.1 76.7
1 1990341 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 2302911 0.093 0.5529 0.596 170.289 170.983 171.104 171.125 172.015 -0.163 -0.186 -0.579 -0.935
1 2627555 0.684 0.9706 0.9896 41.638 39.617 40.756 37.49 43.635 -0.655 -0.694 -0.899 6553.5
1 2852825 0.199 0.4059 0.5102 179.077 173.601 172.782 179.204 178.626 -0.346 -0.439 -0.616 -1.905
1 3074306 0.473 0.8471 0.9213 123.924 115.514 116.772 118.805 118.199 -0.529 -0.652 -0.76 -1.049
1 4035255 0.322 0.5176 0.3901 179.195 169.837 169.869 174.982 180.764 0.688 0.913 4.5 209715.1
1 4133241 0.371 0.4118 0.5738 185.89 169.83 170.133 178.56 181.879 -0.481 -0.564 -0.879 -1.227
1 4146513 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 4646878 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 4929561 0 0.9882 0.9874 17.77 19.761 19.71 19.765 19.763 0.071 209715.1 0.059 52428.7
1 5274740 0 1 0.9972 0.954 2.34 2.893 2.931 2.34 38.3 6710886.3 1677721.5 153.5
